Fury of the Storm
2 5 158862 159862
3 5 159012 160012
2 5 159162 160162
1 5 159312 160312
0 5 159312 160312
0 5 159462 160462
3 5 159612 160612
1 5 159762 160762
3 5 159762 160762
2 5 159912 160912
2 5 160062 161062
0 5 160062 161062
0 5 160212 161212
2 5 160362 161362
1 5 160512 161512
3 5 160512 161512
2 5 160662 161662
3 5 160812 161812
3 5 160962 161962
1 5 160962 161962
3 5 161112 162112
1 5 161262 162262
3 5 161262 162262
3 5 161412 162412
3 5 161562 162562
3 5 161712 162712
0 5 161712 162712
1 5 161862 162862
1 5 162012 163012
1 5 162162 163162
0 5 162162 163162
3 5 162312 163312
1 5 162462 163462
0 5 162462 163462
3 5 162612 163612
3 5 162762 163762
1 5 162912 163912
2 5 163062 164062
3 5 163137 164137
2 5 163212 164212
3 5 163287 164287
2 5 163362 164362
0 5 163437 164437
3 5 163587 164587
2 5 163662 164662
0 5 163812 164812
3 5 164037 165037
2 5 164112 165112
2 5 164412 165412
0 5 164562 165562
2 5 164712 165712
2 5 164862 165862
0 5 165012 166012
3 5 165237 166237
2 5 165312 166312
2 5 165612 166612
0 5 165762 166762
2 5 165912 166912
2 5 166062 167062
3 5 166062 167062
1 5 166212 167212
0 5 166437 167437
3 5 166512 167512
3 5 166812 167812
0 5 166962 167962
1 5 167112 168112
3 5 167262 168262
1 5 167412 168412
0 5 167637 168637
3 5 167712 168712
1 5 168012 169012
3 5 168162 169162
1 5 168312 169312
0 5 168462 169462
3 5 168462 169462
2 5 168612 169612
2 5 168837 169837
3 5 168912 169912
1 5 169212 170212
2 5 169362 170362
2 5 169512 170512
3 5 169662 170662
2 5 169812 170812
2 5 170037 171037
3 5 170112 171112
1 5 170412 171412
2 5 170562 171562
1 5 170712 171712
3 5 170862 171862
1 5 170862 171862
0 5 171012 172012
2 5 171237 172237
0 5 171312 172312
1 5 171612 172612
2 5 171762 172762
2 5 171912 172912
2 5 172062 173062
0 5 172212 173212
2 5 172437 173437
1 5 172512 173512
1 5 172662 173662
2 5 172737 173737
2 5 172887 173887
0 5 172962 173962
1 5 173037 174037
0 5 173112 174112
1 5 173262 174262
0 5 173262 174262
3 5 173412 174412
2 5 173487 174487
1 5 173562 174562
1 5 173712 174712
0 5 173712 174712
0 5 173862 174862
3 5 173937 174937
0 5 174012 175012
0 5 174162 175162
1 5 174162 175162
1 5 174312 175312
2 5 174387 175387
0 5 174462 175462
2 5 174537 175537
1 5 174612 175612
2 5 174762 175762
1 5 174837 175837
3 5 174912 175912
1 5 174987 175987
0 5 175062 176062
0 5 175212 176212
3 5 175287 176287
2 5 175362 176362
3 5 175437 176437
1 5 175512 176512
0 5 175662 176662
1 5 175662 176662
2 5 175812 176812
3 5 175887 176887
0 5 175962 176962
3 5 176112 177112
2 5 176112 177112
2 5 176262 177262
3 5 176337 177337
1 5 176412 177412
1 5 176562 177562
0 5 176562 177562
0 5 176712 177712
3 5 176787 177787
1 5 176862 177862
3 5 176937 177937
0 5 177012 178012
3 5 177162 178162
0 5 177237 178237
1 5 177312 178312
0 5 177462 178462
3 5 177537 178537
0 5 177612 178612
3 5 177762 178762
0 5 177837 178837
3 5 177912 178912
3 5 178062 179062
1 5 178062 179062
3 5 178212 179212
0 5 178287 179287
3 5 178362 179362
1 5 178512 179512
0 5 178512 179512
3 5 178662 179662
1 5 178737 179737
0 5 178812 179812
2 5 178962 179962
0 5 178962 179962
2 5 179112 180112
3 5 179187 180187
2 5 179262 180262
3 5 179337 180337
2 5 179412 180412
1 5 179562 180562
2 5 179637 180637
0 5 179712 180712
2 5 179787 180787
0 5 179862 180862
0 5 180012 181012
2 5 180087 181087
0 5 180162 181162
2 5 180237 181237
3 5 180312 181312
3 5 180462 181462
2 5 180537 181537
3 5 180612 181612
2 5 180687 181687
3 5 180762 181762
2 5 180837 181837
3 5 180912 181912
2 5 180987 181987
3 5 181062 182062
2 5 181137 182137
3 5 181212 182212
2 5 181287 182287
3 5 181362 182362
2 5 181437 182437
0 5 181512 182512
2 5 181662 182662
0 5 181662 182662
3 5 182312 183312
1 5 182862 183862
0 5 182862 183862
3 5 183012 184012
3 5 183162 184162
2 5 183237 184237
1 5 183312 184312
2 5 183387 184387
1 5 183462 184462
1 5 183612 184612
1 5 183762 184762
0 5 183762 184762
0 5 183912 184912
2 5 184062 185062
0 5 184062 185062
0 5 184212 185212
1 5 184212 185212
1 5 184362 185362
2 5 184437 185437
2 5 184587 185587
0 5 184662 185662
2 5 184737 185737
0 5 184887 185887
1 5 184962 185962
0 5 185037 186037
1 5 185187 186187
3 5 185262 186262
1 5 185337 186337
0 5 185487 186487
2 5 185562 186562
2 5 185712 186712
0 5 185712 186712
2 5 185862 186862
3 5 185937 186937
1 5 186087 187087
3 5 186162 187162
1 5 186237 187237
3 5 186387 187387
2 5 186462 187462
3 5 186537 187537
2 5 186612 187612
3 5 186687 187687
1 5 186762 187762
3 5 186912 187912
2 5 187062 188062
0 5 187062 188062
3 5 187212 188212
1 5 187362 188362
0 5 187362 188362
0 5 187512 188512
1 5 187662 188662
0 5 187662 188662
2 5 187812 188812
0 5 187887 188887
1 5 187962 188962
0 5 188112 189112
1 5 188112 189112
0 5 188262 189262
2 5 188337 189337
1 5 188412 189412
3 5 188562 189562
1 5 188637 189637
0 5 188712 189712
3 5 188862 189862
0 5 188862 189862
0 5 189012 190012
3 5 189087 190087
1 5 189162 190162
3 5 189237 190237
2 5 189312 190312
3 5 189387 190387
1 5 189462 190462
3 5 189612 190612
2 5 189687 190687
3 5 189762 190762
1 5 189912 190912
3 5 189987 190987
1 5 190062 191062
3 5 190137 191137
2 5 190287 191287
3 5 190437 191437
1 5 190512 191512
3 5 190587 191587
3 5 190737 191737
2 5 190887 191887
1 5 190962 191962
2 5 191037 192037
0 5 191187 192187
1 5 191262 192262
0 5 191337 192337
1 5 191412 192412
0 5 191487 192487
1 5 191562 192562
0 5 191637 192637
2 5 191712 192712
0 5 191787 192787
3 5 191937 192937
0 5 192087 193087
1 5 192237 193237
3 5 192387 193387
1 5 192462 193462
0 5 192462 193462
0 5 192612 193612
3 5 192837 193837
2 5 192912 193912
0 5 193212 194212
3 5 193362 194362
2 5 193512 194512
2 5 193662 194662
0 5 193662 194662
1 5 193812 194812
3 5 194037 195037
1 5 194112 195112
0 5 194412 195412
3 5 194562 195562
1 5 194712 195712
0 5 194862 195862
1 5 194862 195862
2 5 195012 196012
2 5 195237 196237
1 5 195312 196312
1 5 195612 196612
2 5 195762 196762
2 5 195912 196912
3 5 196062 197062
0 5 196212 197212
3 5 196437 197437
1 5 196512 197512
0 5 196812 197812
3 5 196962 197962
1 5 197112 198112
3 5 197262 198262
1 5 197262 198262
3 5 197712 198712
2 5 198462 199462
1 5 198462 199462
2 5 199362 200362
0 5 199662 200662
1 5 199737 200737
0 5 199812 200812
1 5 199887 200887
0 5 199962 200962
1 5 200037 201037
3 5 200112 201112
1 5 200187 201187
3 5 200337 201337
1 5 200487 201487
3 5 200637 201637
2 5 200787 201787
0 5 200862 201862
2 5 201162 202162
3 5 201462 202462
3 5 201612 202612
2 5 201762 202762
1 5 202062 203062
1 5 202212 203212
0 5 202362 203362
3 5 202662 203662
0 5 202812 203812
1 5 202962 203962
3 5 203262 204262
1 5 203262 204262
1 5 203562 204562
2 5 203862 204862
2 5 204012 205012
1 5 204162 205162
1 5 204462 205462
0 5 204612 205612
3 5 204762 205762
2 5 205062 206062
1 5 205212 206212
3 5 205362 206362
3 5 205962 206962
3 5 206112 207112
2 5 206262 207262
3 5 206562 207562
3 5 206712 207712
0 5 206862 207862
2 5 207162 208162
2 5 207312 208312
1 5 207462 208462
3 5 207762 208762
0 5 207912 208912
2 5 208362 209362
2 5 208512 209512
1 5 208662 209662
2 5 208962 209962
3 5 208962 209962
1 5 209112 210112
1 5 209262 210262
2 5 209337 210337
2 5 209487 210487
3 5 209562 210562
2 5 209712 210712
0 5 209862 210862
0 5 210012 211012
3 5 210162 211162
3 5 210312 211312
2 5 210462 211462
2 5 210612 211612
3 5 210762 211762
2 5 210912 211912
1 5 211062 212062
2 5 211212 212212
1 5 211362 212362
2 5 211512 212512
2 5 211662 212662
3 5 211812 212812
3 5 211962 212962
2 5 212112 213112
1 5 212262 213262
2 5 212412 213412
1 5 212562 213562
2 5 212712 213712
2 5 212862 213862
2 5 213012 214012
0 5 213162 214162
0 5 213312 214312
1 5 213462 214462
3 5 213612 214612
1 5 213762 214762
1 5 213912 214912
3 5 214062 215062
2 5 214212 215212
3 5 214362 215362
0 5 214512 215512
3 5 214662 215662
2 5 214962 215962
2 5 215262 216262
2 5 215412 216412
1 5 215562 216562
1 5 215712 216712
2 5 215862 216862
2 5 216012 217012
3 5 216162 217162
3 5 216312 217312
1 5 216462 217462
2 5 216612 217612
0 5 216762 217762
1 5 216912 217912
0 5 217212 218212
3 5 217512 218512
0 5 217662 218662
0 5 217812 218812
1 5 217962 218962
0 5 218112 219112
2 5 218412 219412
3 5 218562 219562
2 5 218712 219712
0 5 218862 219862
0 5 219012 220012
3 5 219162 220162
1 5 219312 220312
0 5 219462 220462
2 5 219612 220612
1 5 219762 220762
2 5 219912 220912
0 5 220062 221062
1 5 220362 221362
0 5 220512 221512
1 5 220812 221812
0 5 220962 221962
2 5 221262 222262
3 5 221412 222412
0 5 221562 222562
2 5 221862 222862
1 5 222012 223012
0 5 222162 223162
2 5 222462 223462
3 5 222612 223612
2 5 222912 223912
3 5 223062 224062
2 5 223362 224362
3 5 223512 224512
1 5 223662 224662
1 5 223962 224962
0 5 224112 225112
1 5 224262 225262
2 5 224562 225562
3 5 224712 225712
1 5 224862 225862
2 5 225162 226162
2 5 225312 226312
3 5 225462 226462
2 5 225762 226762
1 5 225912 226912
3 5 226062 227062
3 5 226362 227362
3 5 226512 227512
0 5 226662 227662
2 5 226962 227962
3 5 227112 228112
0 5 227262 228262
1 5 227412 228412
2 5 227562 228562
0 5 227712 228712
3 5 228012 229012
1 5 228162 229162
0 5 228462 229462
2 5 228537 229537
3 5 228612 229612
2 5 228762 229762
3 5 228762 229762
3 5 228912 229912
2 5 229137 230137
0 5 229212 230212
1 5 229362 230362
3 5 229362 230362
3 5 229662 230662
2 5 229737 230737
2 5 229887 230887
3 5 229962 230962
2 5 230262 231262
0 5 230262 231262
0 5 230412 231412
1 5 230562 231562
0 5 230562 231562
3 5 230862 231862
2 5 230937 231937
2 5 231087 232087
2 5 231237 232237
0 5 231387 232387
0 5 231537 232537
2 5 231687 232687
0 5 231762 232762
1 5 232062 233062
0 5 232062 233062
1 5 232212 233212
0 5 232362 233362
1 5 232362 233362
1 5 232662 233662
3 5 232737 233737
3 5 232887 233887
2 5 232962 233962
1 5 233262 234262
0 5 233262 234262
1 5 233412 234412
3 5 233562 234562
3 5 233712 234712
3 5 233862 234862
2 5 234012 235012
1 5 234162 235162
2 5 234162 235162
0 5 234462 235462
1 5 234462 235462
1 5 234612 235612
1 5 234762 235762
0 5 234762 235762
1 5 234912 235912
0 5 235062 236062
2 5 235062 236062
0 5 235212 236212
0 5 235362 236362
1 5 235362 236362
0 5 235512 236512
0 5 235662 236662
1 5 235662 236662
1 5 235812 236812
3 5 235962 236962
3 5 236112 237112
0 5 236187 237187
2 5 236262 237262
3 5 236412 237412
2 5 236487 237487
0 5 236562 237562
2 5 236637 237637
2 5 236787 237787
3 5 236862 237862
2 5 236937 237937
2 5 237087 238087
3 5 237162 238162
2 5 237237 238237
3 5 237387 238387
1 5 237462 238462
3 5 237537 238537
3 5 237687 238687
2 5 237762 238762
3 5 237837 238837
2 5 237987 238987
3 5 238062 239062
2 5 238137 239137
0 5 238212 239212
3 5 238362 239362
2 5 238437 239437
1 5 238512 239512
3 5 238662 239662
0 5 238737 239737
1 5 238812 239812
1 5 238962 239962
0 5 238962 239962
2 5 239037 240037
2 5 239187 240187
3 5 239262 240262
3 5 239362 240362
1 5 239462 240462
3 5 239562 240562
2 5 239662 240662
0 5 239762 240762
2 5 239862 240862
0 5 239962 240962
2 5 240062 241062
0 5 240162 241162
2 5 240262 241262
2 5 240362 241362
0 5 240462 241462
2 5 240562 241562
1 5 240662 241662
3 5 240762 241762
3 5 240862 241862
1 5 240962 241962
3 5 241062 242062
0 5 241162 242162
1 5 241262 242262
3 5 241362 242362
1 5 241662 242662
3 5 241737 242737
3 5 241887 242887
3 5 242037 243037
1 5 242187 243187
3 5 242337 243337
0 5 242487 243487
2 5 242637 243637
0 5 242787 243787
2 5 242937 243937
1 5 243087 244087
0 5 243237 244237
2 5 243387 244387
1 5 243462 244462
0 5 243762 244762
2 5 243837 244837
0 5 243912 244912
0 5 244062 245062
2 5 244212 245212
2 5 244362 245362
2 5 244512 245512
3 5 244662 245662
0 5 244812 245812
0 5 244962 245962
2 5 245112 246112
0 5 245262 246262
1 5 245562 246562
0 5 245712 246712
2 5 245862 246862
0 5 245937 246937
0 5 246087 247087
2 5 246237 247237
3 5 246387 247387
0 5 246537 247537
0 5 246687 247687
3 5 246837 247837
1 5 246987 247987
3 5 247137 248137
2 5 247287 248287
2 5 247437 248437
1 5 247587 248587
3 5 247737 248737
2 5 247887 248887
2 5 248037 249037
3 5 248187 249187
2 5 248312 249312
1 5 248412 249412
3 5 248512 249512
0 5 248637 249637
2 5 248787 249787
0 5 248862 249862
2 5 249012 250012
0 5 249162 250162
2 5 249237 250237
2 5 249387 250387
0 5 249462 250462
2 5 249612 250612
0 5 249762 250762
3 5 249912 250912
1 5 250062 251062
3 5 250362 251362
2 5 250512 251512
1 5 250512 251512
3 5 250662 251662
3 5 250887 251887
1 5 250962 251962
2 5 251187 252187
1 5 251262 252262
2 5 251562 252562
1 5 251712 252712
3 5 251862 252862
3 5 252162 253162
3 5 252312 253312
2 5 252462 253462
3 5 252762 253762
3 5 252912 253912
2 5 252987 253987
1 5 253062 254062
3 5 253287 254287
1 5 253362 254362
2 5 253587 254587
3 5 253662 254662
0 5 254112 255112
1 5 254262 255262
1 5 254487 255487
0 5 254562 255562
1 5 254712 255712
0 5 254862 255862
0 5 255012 256012
3 5 255162 256162
2 5 255312 256312
3 5 255462 256462
1 5 255612 256612
0 5 255762 256762
2 5 255762 256762
2 5 255987 256987
3 5 256062 257062
3 5 256212 257212
3 5 256362 257362
0 5 256512 257512
0 5 256662 257662
0 5 256812 257812
2 5 256962 257962
2 5 257112 258112
1 5 257262 258262
2 5 257412 258412
0 5 257487 258487
3 5 257562 258562
3 5 257712 258712
0 5 257862 258862
3 5 257937 258937
1 5 258012 259012
1 5 258162 259162
2 5 258237 259237
2 5 258387 259387
3 5 258512 259512
1 5 258612 259612
3 5 258712 259712
1 5 258812 259812
3 5 258912 259912
0 5 259012 260012
1 5 259112 260112
2 5 259212 260212
1 5 259312 260312
2 5 259412 260412
3 5 259512 260512
0 5 259612 260612
3 5 259712 260712
1 5 259812 260812
3 5 259912 260912
1 5 260012 261012
3 5 260112 261112
3 5 260212 261212
1 5 260312 261312
2 5 260412 261412
1 5 260512 261512
2 5 260612 261612
3 5 260712 261712
0 5 260812 261812
2 5 260912 261912
0 5 261012 262012
2 5 261112 262112
0 5 261212 262212
2 5 261312 262312
3 5 261412 262412
2 5 261512 262512
1 5 261612 262612
3 5 261712 262712
2 5 261812 262812
1 5 261912 262912
3 5 262012 263012
3 5 262112 263112
1 5 262212 263212
3 5 262312 263312
1 5 262412 263412
3 5 262512 263512
2 5 262612 263612
0 5 262712 263712
2 5 262812 263812
0 5 262912 263912
3 5 263012 264012
1 5 263112 264112
3 5 263212 264212
3 5 263312 264312
1 5 263412 264412
3 5 263512 264512
1 5 263612 264612
2 5 263712 264712
0 5 263812 264812
1 5 263912 264912
2 5 264012 265012
1 5 264112 265112
2 5 264212 265212
3 5 264312 265312
0 5 264412 265412
3 5 264512 265512
1 5 264612 265612
3 5 264712 265712
1 5 264812 265812
2 5 264912 265912
0 5 265012 266012
1 5 265112 266112
2 5 265212 266212
1 5 265312 266312
2 5 265412 266412
3 5 265512 266512
0 5 265612 266612
2 5 265712 266712
0 5 265812 266812
2 5 265912 266912
0 5 266012 267012
2 5 266112 267112
3 5 266212 267212
2 5 266312 267312
1 5 266412 267412
3 5 266512 267512
2 5 266612 267612
1 5 266712 267712
3 5 266812 267812
3 5 266912 267912
1 5 267012 268012
3 5 267112 268112
1 5 267212 268212
3 5 267312 268312
2 5 267412 268412
0 5 267512 268512
2 5 267612 268612
0 5 267712 268712
3 5 267812 268812
1 5 267912 268912
3 5 268012 269012
0 5 268062 269062
3 5 268212 269212
2 5 268287 269287
1 5 268362 269362
1 5 268512 269512
3 5 268587 269587
1 5 268662 269662
1 5 268812 269812
3 5 268887 269887
0 5 268962 269962
1 5 269112 270112
3 5 269187 270187
1 5 269262 270262
0 5 269412 270412
2 5 269487 270487
0 5 269562 270562
1 5 269712 270712
0 5 269787 270787
2 5 269862 270862
2 5 270012 271012
0 5 270087 271087
1 5 270162 271162
2 5 270312 271312
0 5 270387 271387
2 5 270462 271462
0 5 270612 271612
3 5 270687 271687
0 5 270762 271762
3 5 270912 271912
0 5 270987 271987
3 5 271062 272062
2 5 271212 272212
3 5 271287 272287
0 5 271362 272362
3 5 271512 272512
0 5 271587 272587
3 5 271662 272662
1 5 271812 272812
2 5 271887 272887
1 5 271962 272962
2 5 272112 273112
1 5 272187 273187
2 5 272262 273262
1 5 272412 273412
2 5 272487 273487
0 5 272562 273562
2 5 272712 273712
3 5 272787 273787
0 5 272862 273862
3 5 273012 274012
2 5 273087 274087
1 5 273162 274162
1 5 273312 274312
3 5 273387 274387
1 5 273462 274462
1 5 273612 274612
3 5 273687 274687
0 5 273762 274762
1 5 273912 274912
3 5 273987 274987
1 5 274062 275062
0 5 274212 275212
2 5 274287 275287
0 5 274362 275362
1 5 274512 275512
2 5 274587 275587
3 5 274662 275662
3 5 274812 275812
1 5 274887 275887
0 5 274962 275962
3 5 275112 276112
1 5 275187 276187
2 5 275262 276262
0 5 275412 276412
3 5 275487 276487
0 5 275562 276562
3 5 275712 276712
0 5 275787 276787
3 5 275862 276862
2 5 276012 277012
3 5 276087 277087
0 5 276162 277162
3 5 276312 277312
0 5 276387 277387
3 5 276462 277462
1 5 276612 277612
2 5 276687 277687
1 5 276762 277762
2 5 276912 277912
1 5 276987 277987
3 5 277062 278062
1 5 277137 278137
0 5 277212 278212
1 5 277287 278287
0 5 277362 278362
1 5 277437 278437
0 5 277512 278512
1 5 277587 278587
3 5 277712 278712
0 5 277812 278812
2 5 277912 278912
1 5 278012 279012
3 5 278112 279112
1 5 278212 279212
0 5 278312 279312
2 5 278412 279412
2 5 278512 279512
0 5 278612 279612
3 5 278712 279712
1 5 278812 279812
3 5 278912 279912
0 5 279012 280012
2 5 279112 280112
1 5 279212 280212
3 5 279312 280312
1 5 279412 280412
0 5 279512 280512
2 5 279612 280612
2 5 279712 280712
0 5 279812 280812
1 5 279912 280912
2 5 280012 281012
3 5 280112 281112
2 5 280212 281212
0 5 280312 281312
2 5 280412 281412
1 5 280512 281512
0 5 280612 281612
2 5 280712 281712
0 5 280812 281812
2 5 280912 281912
0 5 281012 282012
2 5 281112 282112
1 5 281212 282212
3 5 281312 282312
2 5 281412 282412
0 5 281512 282512
3 5 281612 282612
0 5 281712 282712
1 5 281812 282812
2 5 281912 282912
0 5 282012 283012
2 5 282112 283112
2 5 282212 283212
0 5 282312 283312
2 5 282412 283412
3 5 282512 283512
0 5 282612 283612
2 5 282712 283712
1 5 282812 283812
3 5 282912 283912
1 5 283012 284012
0 5 283112 284112
2 5 283212 284212
2 5 283312 284312
0 5 283412 284412
3 5 283512 284512
1 5 283612 284612
3 5 283712 284712
0 5 283812 284812
2 5 283912 284912
1 5 284012 285012
3 5 284112 285112
1 5 284212 285212
0 5 284312 285312
2 5 284412 285412
2 5 284512 285512
0 5 284612 285612
1 5 284712 285712
2 5 284812 285812
3 5 284912 285912
2 5 285012 286012
0 5 285112 286112
2 5 285212 286212
1 5 285312 286312
0 5 285412 286412
2 5 285512 286512
0 5 285612 286612
2 5 285712 286712
0 5 285812 286812
2 5 285912 286912
1 5 286012 287012
3 5 286112 287112
2 5 286212 287212
0 5 286312 287312
3 5 286412 287412
0 5 286512 287512
1 5 286612 287612
2 5 286712 287712
0 5 286812 287812
2 5 286912 287912
2 5 287012 288012
0 5 287112 288112
2 5 287212 288212
3 5 287262 288262
3 5 287412 288412
2 5 287487 288487
1 5 287562 288562
1 5 287712 288712
3 5 287787 288787
1 5 287862 288862
1 5 288012 289012
3 5 288087 289087
0 5 288162 289162
1 5 288312 289312
3 5 288387 289387
1 5 288462 289462
0 5 288612 289612
2 5 288687 289687
0 5 288762 289762
1 5 288912 289912
0 5 288987 289987
2 5 289062 290062
2 5 289212 290212
0 5 289287 290287
1 5 289362 290362
2 5 289512 290512
0 5 289587 290587
2 5 289662 290662
0 5 289812 290812
3 5 289887 290887
0 5 289962 290962
3 5 290112 291112
0 5 290187 291187
3 5 290262 291262
2 5 290412 291412
3 5 290487 291487
0 5 290562 291562
3 5 290712 291712
0 5 290787 291787
3 5 290862 291862
1 5 291012 292012
2 5 291087 292087
1 5 291162 292162
2 5 291312 292312
1 5 291387 292387
2 5 291462 292462
1 5 291612 292612
2 5 291687 292687
0 5 291762 292762
2 5 291912 292912
3 5 291987 292987
0 5 292062 293062
3 5 292212 293212
2 5 292287 293287
1 5 292362 293362
1 5 292512 293512
3 5 292587 293587
1 5 292662 293662
1 5 292812 293812
3 5 292887 293887
0 5 292962 293962
1 5 293112 294112
3 5 293187 294187
1 5 293262 294262
0 5 293412 294412
2 5 293487 294487
0 5 293562 294562
1 5 293712 294712
2 5 293787 294787
3 5 293862 294862
3 5 294012 295012
2 5 294087 295087
0 5 294162 295162
3 5 294312 295312
1 5 294387 295387
0 5 294512 295512
2 5 294612 295612
3 5 294712 295712
2 5 294812 295812
1 5 294912 295912
3 5 295012 296012
2 5 295112 296112
0 5 295212 296212
3 5 295312 296312
1 5 295412 296412
3 5 295512 296512
2 5 295612 296612
3 5 295712 296712
1 5 295812 296812
2 5 295912 296912
2 5 296012 297012
0 5 296112 297112
3 5 296212 297212
2 5 296312 297312
0 5 296412 297412
2 5 296512 297512
3 5 296612 297612
0 5 296712 297712
2 5 296812 297812
0 5 296862 297862
1 5 297012 298012
3 5 297087 298087
1 5 297162 298162
2 5 297312 298312
0 5 297387 298387
3 5 297462 298462
1 5 297612 298612
2 5 297687 298687
0 5 297762 298762
3 5 297912 298912
1 5 297987 298987
3 5 298062 299062
1 5 298212 299212
3 5 298287 299287
2 5 298437 299437
3 5 298512 299512
1 5 298662 299662
3 5 298737 299737
2 5 298812 299812
3 5 298887 299887
2 5 298962 299962
3 5 299037 300037
3 5 299187 300187
1 5 299262 300262
3 5 299412 300412
1 5 299487 300487
0 5 299562 300562
1 5 299712 300712
0 5 299787 300787
2 5 299862 300862
2 5 300012 301012
3 5 300087 301087
2 5 300162 301162
3 5 300312 301312
0 5 300387 301387
2 5 300462 301462
0 5 300537 301537
1 5 300612 301612
0 5 300687 301687
2 5 300799 301799
0 5 300874 301874
2 5 300949 301949
0 5 301024 302024
2 5 301062 302062
0 5 301137 302137
1 5 301212 302212
0 5 301287 302287
2 5 301399 302399
0 5 301474 302474
2 5 301549 302549
0 5 301624 302624
2 5 301662 302662
0 5 301812 302812
1 5 301962 302962
0 5 302037 303037
3 5 302112 303112
1 5 302262 303262
0 5 302337 303337
2 5 302412 303412
2 5 302562 303562
3 5 302637 303637
2 5 302712 303712
1 5 302862 303862
2 5 302937 303937
0 5 303012 304012
2 5 303087 304087
0 5 303162 304162
1 5 303312 304312
2 5 303462 304462
1 5 303537 304537
2 5 303612 304612
1 5 303687 304687
0 5 303762 304762
1 5 303837 304837
0 5 303912 304912
1 5 303987 304987
3 5 304062 305062
3 5 304212 305212
1 5 304287 305287
2 5 304362 305362
0 5 304512 305512
1 5 304587 305587
2 5 304662 305662
2 5 304812 305812
0 5 304887 305887
2 5 304962 305962
2 5 305112 306112
0 5 305187 306187
1 5 305262 306262
0 5 305337 306337
1 5 305412 306412
0 5 305487 306487
1 5 305562 306562
0 5 305637 306637
1 5 305712 306712
0 5 305787 306787
1 5 305862 306862
0 5 306012 307012
2 5 306087 307087
0 5 306162 307162
1 5 306312 307312
3 5 306387 307387
1 5 306462 307462
3 5 306612 307612
2 5 306762 307762
3 5 306837 307837
3 5 306987 307987
2 5 307062 308062
2 5 307212 308212
2 5 307362 308362
3 5 307437 308437
2 5 307587 308587
3 5 307662 308662
2 5 307812 308812
0 5 307962 308962
2 5 308037 309037
0 5 308187 309187
2 5 308262 309262
0 5 308412 309412
1 5 308562 309562
0 5 308637 309637
0 5 308787 309787
3 5 308862 309862
0 5 309012 310012
3 5 309087 310087
0 5 309162 310162
2 5 309312 310312
3 5 309387 310387
1 5 309462 310462
3 5 309612 310612
2 5 309687 310687
3 5 309762 310762
3 5 309912 310912
1 5 310062 311062
3 5 310137 311137
3 5 310287 311287
0 5 310362 311362
0 5 310512 311512
0 5 310662 311662
2 5 310737 311737
2 5 310887 311887
0 5 310962 311962
1 5 311112 312112
3 5 311262 312262
2 5 311337 312337
0 5 311412 312412
2 5 311562 312562
1 5 311637 312637
2 5 311712 312712
1 5 311862 312862
2 5 311937 312937
0 5 312012 313012
3 5 312162 313162
0 5 312212 313212
3 5 312312 313312
0 5 312412 313412
1 5 312537 313537
2 5 312687 313687
0 5 312812 313812
3 5 312912 313912
0 5 313012 314012
2 5 313137 314137
2 5 313287 314287
3 5 313437 314437
3 5 313587 314587
1 5 313662 314662
0 5 313812 314812
2 5 313887 314887
0 5 313962 314962
3 5 314112 315112
2 5 314187 315187
1 5 314262 315262
0 5 314412 315412
3 5 314487 315487
0 5 314562 315562
3 5 314712 315712
2 5 314862 315862
3 5 314937 315937
1 5 315012 316012
3 5 315087 316087
2 5 315162 316162
3 5 315237 316237
2 5 315312 316312
3 5 315387 316387
2 5 315462 316462
3 5 315537 316537
2 5 315687 316687
1 5 315837 316837
3 5 315987 316987
2 5 316062 317062
3 5 316137 317137
2 5 316212 317212
0 5 316362 317362
2 5 316437 317437
1 5 316512 317512
3 5 316662 317662
1 5 316737 317737
0 5 316812 317812
0 5 316962 317962
2 5 317037 318037
2 5 317187 318187
3 5 317262 318262
2 5 317337 318337
3 5 317412 318412
1 5 317562 318562
3 5 317637 318637
0 5 317712 318712
2 5 317862 318862
3 5 317937 318937
1 5 318012 319012
0 5 318162 319162
2 5 318237 319237
2 5 318387 319387
0 5 318462 319462
0 5 318612 319612
1 5 318687 319687
2 5 318762 319762
1 5 318912 319912
2 5 318987 319987
1 5 319062 320062
2 5 319212 320212
1 5 319287 320287
3 5 319362 320362
1 5 319512 320512
2 5 319587 320587
0 5 319662 320662
1 5 319737 320737
0 5 319812 320812
1 5 319887 320887
2 5 320037 321037
2 5 320187 321187
0 5 320262 321262
2 5 320337 321337
0 5 320412 321412
1 5 320487 321487
1 5 320637 321637
1 5 320787 321787
0 5 320862 321862
1 5 321012 322012
3 5 321087 322087
1 5 321162 322162
3 5 321312 322312
2 5 321387 322387
3 5 321537 322537
2 5 321612 322612
3 5 321762 322762
2 5 321837 322837
3 5 321912 322912
1 5 322062 323062
3 5 322137 323137
1 5 322212 323212
1 5 322362 323362
0 5 322437 323437
3 5 322512 323512
3 5 322662 323662
1 5 322812 323812
3 5 322887 323887
1 5 322962 323962
3 5 323112 324112
1 5 323262 324262
0 5 323337 324337
3 5 323412 324412
0 5 323562 324562
1 5 323637 324637
0 5 323712 324712
2 5 323862 324862
3 5 324012 325012
2 5 324087 325087
3 5 324162 325162
2 5 324312 325312
1 5 324387 325387
2 5 324462 325462
1 5 324612 325612
2 5 324687 325687
2 5 324837 325837
0 5 324912 325912
2 5 325062 326062
3 5 325137 326137
2 5 325212 326212
3 5 325287 326287
